step,pvnet_v2,pvnet_ecmwf,pvnet_day_ahead,pvnet_cloud,National_xg
0 days 00:30:00,0.0209277,0.028511155,0.027450504,0.018497815,0.05
0 days 01:00:00,0.022508211,0.028264685,0.027222006,0.019538969,0.05
0 days 01:30:00,0.023676524,0.028136369,0.02722222,0.020893216,0.05
0 days 02:00:00,0.024398707,0.028057357,0.027292745,0.022112451,0.05
0 days 02:30:00,0.024885716,0.028046975,0.027309025,0.023013521,0.05
0 days 03:00:00,0.025247885,0.028074497,0.02736119,0.023746852,0.05
0 days 03:30:00,0.025526302,0.028104123,0.027431749,0.024354765,0.05
0 days 04:00:00,0.025762282,0.028154483,0.027544132,0.024853,0.05
0 days 04:30:00,0.025993522,0.028265275,0.027618716,0.025286982,0.05
0 days 05:00:00,0.026185999,0.028414233,0.027715953,0.025671083,0.05
0 days 05:30:00,0.0263819,0.028527426,0.027738463,0.025947202,0.05
0 days 06:00:00,0.026566122,0.028641406,0.027816545,0.026207883,0.05
0 days 06:30:00,0.026733113,0.028793216,0.02796214,0.026428746,0.05
0 days 07:00:00,0.026922962,0.028973423,0.02808759,0.026608447,0.05
0 days 07:30:00,0.027108436,0.029181264,0.028208625,0.026813371,0.05
0 days 08:00:00,0.027425481,0.029509721,0.028305873,0.027099606,0.05
0 days 08:30:00,,,0.02839062,,0.05
0 days 09:00:00,,,0.028473102,,0.05
0 days 09:30:00,,,0.02867567,,0.05
0 days 10:00:00,,,0.028879648,,0.05
0 days 10:30:00,,,0.028977808,,0.05
0 days 11:00:00,,,0.029033333,,0.05
0 days 11:30:00,,,0.029154232,,0.05
0 days 12:00:00,,,0.029293703,,0.05
0 days 12:30:00,,,0.029314486,,0.05
0 days 13:00:00,,,0.02938184,,0.05
0 days 13:30:00,,,0.029517137,,0.05
0 days 14:00:00,,,0.029641846,,0.05
0 days 14:30:00,,,0.029762829,,0.05
0 days 15:00:00,,,0.02984417,,0.05
0 days 15:30:00,,,0.029984428,,0.05
0 days 16:00:00,,,0.030089349,,0.05
0 days 16:30:00,,,0.03011584,,0.05
0 days 17:00:00,,,0.030116133,,0.05
0 days 17:30:00,,,0.030235736,,0.05
0 days 18:00:00,,,0.030332746,,0.05
0 days 18:30:00,,,0.030416552,,0.05
0 days 19:00:00,,,0.030458247,,0.05
0 days 19:30:00,,,0.030557286,,0.05
0 days 20:00:00,,,0.030573623,,0.05
0 days 20:30:00,,,0.03057004,,0.05
0 days 21:00:00,,,0.030585647,,0.05
0 days 21:30:00,,,0.030638436,,0.05
0 days 22:00:00,,,0.030636242,,0.05
0 days 22:30:00,,,0.030595591,,0.05
0 days 23:00:00,,,0.030513188,,0.05
0 days 23:30:00,,,0.030446758,,0.05
1 days 00:00:00,,,0.030428326,,0.05
1 days 00:30:00,,,0.030392466,,0.05
1 days 01:00:00,,,0.030388862,,0.05
1 days 01:30:00,,,0.030449037,,0.05
1 days 02:00:00,,,0.030464433,,0.05
1 days 02:30:00,,,0.03050876,,0.05
1 days 03:00:00,,,0.030632261,,0.05
1 days 03:30:00,,,0.030753383,,0.05
1 days 04:00:00,,,0.030810194,,0.05
1 days 04:30:00,,,0.030940708,,0.05
1 days 05:00:00,,,0.031076454,,0.05
1 days 05:30:00,,,0.031167896,,0.05
1 days 06:00:00,,,0.031339522,,0.05
1 days 06:30:00,,,0.031557024,,0.05
1 days 07:00:00,,,0.03175882,,0.05
1 days 07:30:00,,,0.031990495,,0.05
1 days 08:00:00,,,0.032317776,,0.05
1 days 08:30:00,,,0.032670695,,0.05
1 days 09:00:00,,,0.032945815,,0.05
1 days 09:30:00,,,0.033096958,,0.05
1 days 10:00:00,,,0.033301957,,0.05
1 days 10:30:00,,,0.033528518,,0.05
1 days 11:00:00,,,0.033695754,,0.05
1 days 11:30:00,,,0.033891816,,0.05
1 days 12:00:00,,,0.034171864,,0.05
